Iteration	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	simmap
170	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{2,0.15}	{1,0.05}	{2,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{2,0.15}):{1,0.05}):{2,0.05});
180	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,0.617905:3,0.382095}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{3,0.00245332:1,0.147547}	{1,0.05}	{2,0.05}	{3,0}	(Spondianthus_preussii:{1,0.617905:3,0.382095},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{3,0.00245332:1,0.147547}):{1,0.05}):{2,0.05});
190	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{2,0.15}	{2,0.05}	{2,0.05}	{2,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{2,0.15}):{2,0.05}):{2,0.05});
200	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{2,0.15}	{1,0.05}	{1,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{2,0.15}):{1,0.05}):{1,0.05});
210	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{1,0.15}	{1,0.05}	{1,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{1,0.15}):{1,0.05}):{1,0.05});
220	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{1,0.15}	{1,0.05}	{1,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{1,0.15}):{1,0.05}):{1,0.05});
230	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{1,0.15}	{1,0.05}	{2,0.05}	{3,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{1,0.15}):{1,0.05}):{2,0.05});
240	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{2,0.15}	{1,0.05}	{2,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{2,0.15}):{1,0.05}):{2,0.05});
250	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{2,0.15}	{1,0.05}	{2,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{2,0.15}):{1,0.05}):{2,0.05});
260	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{1,0.15}	{1,0.05}	{2,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{1,0.15}):{1,0.05}):{2,0.05});
270	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{1,0.15}	{1,0.05}	{1,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{1,0.15}):{1,0.05}):{1,0.05});
280	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{2,0.15}	{2,0.05}	{2,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{2,0.15}):{2,0.05}):{2,0.05});
290	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{1,0.15}	{1,0.05}	{2,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{1,0.15}):{1,0.05}):{2,0.05});
300	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{2,0.15}	{1,0.05}	{2,0.05}	{2,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{2,0.15}):{1,0.05}):{2,0.05});
310	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{2,0.15}	{2,0.05}	{2,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{2,0.15}):{2,0.05}):{2,0.05});
320	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{1,0.15}	{1,0.05}	{2,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{1,0.15}):{1,0.05}):{2,0.05});
330	{2,0.15}	{2,0.1}	{2,0.05}	{2,0.05}	{2,0.2}	{2,0.25}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.2}	{1,0.15}	{1,0.1}	{1,0.05}	{1,0.05}	{1,0.45}	{1,0.1}	{1,0.05}	{1,0.05}	{2,0.95}	{1,1}	{1,0.05}	{1,0.8}	{1,0.05}	{1,0.05}	{1,0.05}	{1,0.1}	{1,0.25}	{1,0.1}	{1,0.35}	{1,0.05}	{1,0.3}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.05}	{2,0.5}	{2,0.15}	{1,0.05}	{2,0.05}	{1,0}	(Spondianthus_preussii:{1,1},(U_amplifolia:{2,0.95},(((U_nitida:{1,0.05},U_heudelotii:{1,0.05}):{1,0.05},U_acuminata:{1,0.1}):{1,0.8},((U_togoensis:{1,0.45},((((((U_mole:{1,0.05},U_lissopyrena:{1,0.05}):{1,0.05},U_guineensis:{1,0.1}):{1,0.05},U_pilosa:{1,0.15}):{1,0.05},U_kirkiana:{1,0.2}):{1,0.1},(U_robynsii:{1,0.05},U_sansibarica:{1,0.05}):{1,0.25}):{1,0.1},(U_pilosa_var_petiolata:{1,0.05},U_vanhouttei:{1,0.05}):{1,0.35}):{1,0.05}):{1,0.3},(U_littoralis:{2,0.25},(U_ferruginea:{2,0.2},(((U_densifolia:{2,0.05},U_thouarsii:{2,0.05}):{2,0.05},U_louvelii:{2,0.1}):{2,0.05},U_bojeri_1:{2,0.15}):{2,0.05}):{2,0.05}):{2,0.5}):{2,0.15}):{1,0.05}):{2,0.05});
